Path,C:\Users\ChimieENS\Documents\Layla\Data\250710_Exp003-B,,,,,,
Pattern,ExpName_Substrate_Day_0,,,,,,
ExpName,Exp003-B,,,,,,
,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification
CondB,D0,H2M200,1944x2592,-10,bottom,Leica,x5
CondB,D1,H2M200,1200x1600,-10,bottom,Leica,x5
CondB,D4,H2M200,1944x2592,-10,bottom,Leica,x5
CondB,D5-AfterFlip,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D5-BeforeFlip,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D6,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D8,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D0,H2M200,1944x2592,20,bottom,Leica,x5
CondC,D1,H2M200,1200x1600,20,bottom,Leica,x5
CondC,D4,H2M200,1944x2592,20,bottom,Leica,x5
CondC,D5-AfterFlip,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D5-BeforeFlip,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D6,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D8,H2M200,1944x2592,0,bottom,Leica,x5
