Path,C:\Users\ChimieENS\Documents\Layla\Data\251119-Exp008-B,,,,,,
Pattern,ExpName_Day_Substrate_0,,,,,,
ExpName,Exp008-B,,,,,,
,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification
LowFGF-NewHeparin-1,D0,H2M150,1944x2592,10,bottom-flip,Leica,x5
LowFGF-NewHeparin-1,D1,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D4,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D6,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D8,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D11,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D13,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D15,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D18,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D0,H2M150,1944x2592,0,bottom-flip,Leica,x5
LowFGF-NewHeparin-2,D1,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D4,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D6,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D8,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D11,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D13,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D15,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D18,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D0,H2M150,1944x2592,10,bottom,Leica,x5
StdFGF-NewHeparin,D1,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D4,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D6,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D8,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D11,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D13,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D15,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D18,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D0,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D1,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D4,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D6,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D8,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D11,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D13,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D15,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D18,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D20,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D22,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-1,D25,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D20,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D22,H2M150,1944x2592,0,bottom,Leica,x5
LowFGF-NewHeparin-2,D25,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D20,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D22,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-NewHeparin,D25,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D20,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D22,H2M150,1944x2592,0,bottom,Leica,x5
StdFGF-OldHeparin,D25,H2M150,1944x2592,0,bottom,Leica,x5
