Path,C:\Users\ChimieENS\Documents\Layla\Data\260122_Exp009-B,,,,,,
Pattern,ExpName_Day_Substrate_0,,,,,,
ExpName,Exp009-B,,,,,,
,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification
Bead-1,D0,H2M150b,1944x2592,100,bottom right,Leica,x5
Bead-2,D0,H2M150b,1944x2592,-3,bottom,Leica,x5
New-1,D0,H2M150b,1944x2592,10,bottom,Leica,x5
New-2,D0,H2M150b,1944x2592,-7,bottom,Leica,x5
Old-1,D0,H2M100,1944x2592,2,bottom,Leica,x5
Old-2,D0,H2M100,1944x2592,3,bottom,Leica,x5
Bead-1,D1,H2M150b,1944x2592,100,bottom right,Leica,x5
Bead-2,D1,H2M150b,1944x2592,-3,bottom,Leica,x5
New-1,D1,H2M150b,1944x2592,10,bottom,Leica,x5
New-2,D1,H2M150b,1944x2592,-7,bottom,Leica,x5
Old-1,D1,H2M100,1944x2592,2,bottom,Leica,x5
Old-2,D1,H2M100,1944x2592,3,bottom,Leica,x5
Bead-1,D4,H2M150b,1944x2592,100,bottom right,Leica,x5
Bead-2,D4,H2M150b,1944x2592,-3,bottom,Leica,x5
Old-1,D4,H2M100,1944x2592,0,bottom,Leica,x5
Old-2,D4,H2M100,1944x2592,0,bottom,Leica,x5
Old-1,D6,H2M100,1944x2592,0,bottom,Leica,x5
Old-2,D6,H2M100,1944x2592,0,bottom,Leica,x5
Old-1,D8,H2M100,768x1024,0,bottom,Leica,x5
Old-2,D8,H2M100,768x1024,0,bottom,Leica,x5
